Id, NetworkId, MNC, TAPCode
391, 112, 2, NULL
392, 112, 10, 'HKGNW'
393, 112, 18, NULL
394, 112, 16, 'HKGMC'
395, 112, 19, 'HKGM3'
396, 196, 3, 'HKGH3'
397, 196, 4, 'HKGHT'
398, 112, 7, NULL
400, 372, 6, 'HKGSM'
401, 372, 15, NULL
402, 372, 17, NULL
403, 114, 1, 'MACCT'
404, 114, 4, NULL
405, 198, 3, 'MACHT'
406, 198, 5, NULL
407, 371, 0, 'MACSM'
408, 64, 4, NULL
409, 65, 1, 'KHMGM'
410, 224, 2, 'KHMSM'
413, 65, 18, 'KHMSH'
414, 497, 9, 'KHMST'
415, 497, 8, NULL
416, 153, 2, 'LAOET'
417, 223, 1, NULL
418, 253, 8, 'LAOTL'
419, 381, 3, 'LAOAS'
420, 87, 0, 'CHNCT'
421, 87, 2, 'CHNCM'
422, 87, 7, 'CHNTD'
423, 89, 1, 'CHNCU'
424, 90, 92, NULL
425, 164, 1, NULL
426, 164, 88, NULL
427, 399, 93, NULL
428, 399, 97, NULL
429, 399, 99, NULL
430, 494, 89, NULL
431, 28, 2, 'BGDAK'
432, 180, 1, 'BGDGP'
433, 328, 3, 'BGDBL'
434, 28, 7, 'BGDWT'
435, 121, 1, 'MDV01'
436, 530, 2, 'MDVWM'
437, 67, 13, 'MYSMR'
438, 67, 19, 'MYSCC'
439, 124, 10, NULL
440, 124, 16, 'MYSMT'
441, 243, 12, 'MYSBC'
442, 243, 17, NULL
443, 482, 18, 'MYSMI'
444, 367, 2, 'AUSOP'
445, 464, 1, 'AUSTA'
446, 464, 19, NULL
447, 519, 3, 'AUSVF'
448, 519, 6, 'AUSHU'
449, 293, 10, NULL
450, 163, 11, 'IDNEX'
451, 195, 89, 'IDN89'
452, 343, 1, 'IDNSL'
453, 343, 21, 'IDNIM'
454, 163, 8, 'IDNLT'
455, 345, 10, 'IDNTS'
456, 470, 2, 'TLSTL'
457, 136, 5, NULL
458, 177, 2, NULL
459, 370, 3, NULL
460, 1, 1, NULL
461, 1, 3, NULL
462, 1, 23, NULL
463, 473, 18, NULL
464, 1149, 0, NULL
465, 1149, 4, NULL
466, 1149, 99, NULL
467, 234, 3, NULL
468, 366, 1, NULL
469, 366, 2, NULL
470, 366, 7, NULL
471, 382, 5, NULL
472, 382, 6, NULL
473, 32, 2, 'BRNBR'
475, 120, 11, 'BRNDS'
476, 425, 0, NULL
477, 425, 2, NULL
479, 481, 24, NULL
480, 517, 1, NULL
481, 41, 1, NULL
482, 132, 3, NULL
483, 127, 88, NULL
484, 42, 2, NULL
485, 374, 1, NULL
486, 129, 5, NULL
487, 126, 2, 'FJIDP'
489, 511, 1, 'FJIVF'
490, 307, 1, NULL
491, 468, 20, 'FRATK'
492, 422, 1, 'COKTC'
493, 140, 1, 'EGYAR'
494, 160, 3, 'EGYEM'
495, 509, 2, 'EGYMS'
496, 26, 1, 'DZAA1'
497, 327, 2, 'DZAOT'
498, 529, 3, 'DZAWT'
