0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:47 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:47 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:48 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:48 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 5856
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:48 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:49 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:50 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57305
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:50 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:52 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 53040
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:52 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:53 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:33:55 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:04 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:04 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:06 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:06 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:06 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:08 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:08 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:10 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 53928
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:10 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:11 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 53039
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:11 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:13 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:13 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:13 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:14 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 53793
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:14 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:14 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:15 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 53737
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:15 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:17 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:34:18 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:38:47 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:38:47 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:43:47 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:43:47 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:54 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 58192
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:54 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:54 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:56 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 56530
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:56 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:57 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 22417
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:57 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:46:58 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 34742
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:47:05 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 54702
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:47:05 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=4 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:48:48 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:48:48 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:53:49 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:53:49 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:58:50 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:58:50 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:03:51 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:03:51 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:08:52 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:08:52 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:13:53 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:13:53 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:18:54 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:18:54 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:23:55 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:23:55 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:28:56 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:28:56 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:33:57 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:33:57 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
